Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental
2010-01-31,Alabama,169,32616,29765,,98.4919681255924,93.0978260869565,103.935698447894,110.909090909091,96.206908399418,,,94.0766550522648,,114900,144900,253950,399900,169900,,142000,167500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,55.22,36.56,,,,,,,,,,2029,3320,,91000,76900,123700,230100,334500,123800,67900,137300,123800,123300,232500,,,,,
2010-01-31,Alaska,130,3477,2748,182.03125,163.351877607789,154.224834680382,144.439421338156,125.418060200669,153.623949579832,154.224834680382,119.007936507937,151.328939853918,113000,169900,235500,315000,399000,239900,204500,350000,259900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,130500,177800,253600,322400,420700,247200,177200,176100,247200,257100,356200,,,,,
2010-01-31,Arizona,112,50221,50480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,91.85,5.73,,,,,,,,,,8467,12039,1.35E+05,96100,141300,151500,204000,311900,161300,95700,121800,161300,168600,298400,,,,,
2010-01-31,Arkansas,121,18475,17418,,81.4072591061741,86.2139917695473,94.7434210526316,96.9153936545241,88.6648722766746,116.405063291139,62.5,88.2998171846435,105000,89900,129900,214900,322250,142000,170000,150000,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,40.13,50.24,,,,,,,,,,1457,2552,,84100,87700,126500,215900,334400,105800,59200,127500,105800,105800,185100,,,,,
2010-01-31,California,108,138652,132194,,,,,,,,183.411764705882,,,,,,,,,375000,,,,,,,,,1.7267335348539,,,,1.4498846503513,,,1.57873291272345,1.41129032258065,,,2100,,,,,,,,,,218,72.91,20.46,55.6,44.4,,,,,,,,26615,38458,2.61E+05,219500,271100,313200,413300,565900,335100,163600,313600,335100,340000,655700,,,,,
2010-01-31,Colorado,142,46680,41554,209.737827715356,157.987126974839,145.833333333333,153.846153846154,173.556326917009,155.2210724365,168.576205744545,145.161290322581,154.120879120879,149900,172900,228832.5,339000,489900,248500,189000,249400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,51.57,33.73,71.28,28.72,,,,,,,,4314,7410,201900,137500,160200,211900,297600,368800,215600,130000,155700,215600,225100,388300,,,,,
2010-01-31,Connecticut,160.5,25769,21592,185.127314814815,165.834633385335,172.645819991133,175.499138926213,174.114915844457,177.075954348682,159.722222222222,83.5698967293695,181.04786545925,,169900,229900,,,,179876,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,70.26,17.7,,,,,,,,,,1566,2808,238800,142200,189900,250900,373500,604900,257300,166300,177400,257300,272900,464500,,,,,
2010-01-31,Delaware,137.5,6753,6215,,138.888888888889,133.285714285714,130.625,149.464552615633,134.883720930233,163.016458466308,91.4112839855414,134.328358208955,149900,165000,210000,324900,525000,234900,209900,,234990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,58.31,31.17,,,,,,,,,,375,617,203900,140700,163100,201900,298600,354700,212000,141400,,212000,211200,327800,,,,,
2010-01-31,DistrictofColumbia,126,2128,1934,424.381351335061,,,,,294.723294723295,409.150105708245,,247.836349331235,282000,,,,,294000,325000,,269900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,57.1,30.77,,,,,,,,,,441,596,362500,313800,378700,336100,548900,1098500,354600,219400,351500,354600,366400,707500,,,,,
2010-01-31,Florida,158,232692,238138,,,,119.128949615713,164.975159687722,117.753546974935,143.426054527367,,,,,,,,,,165500,,,,,,,,,,0.739993946899957,,,,,,,0.766609880749574,,,,,,,,,,,,,95,87.38,9.25,,,,,,,,,,20530,26061,129800,70900,103800,148600,228800,372000,145800,79100,115500,145800,156200,291000,,,,,
